endTime,artistName,trackName,msPlayed
2020-07-17 07:48,Klaxons,Gravity's Rainbow,3715
2020-07-17 07:49,Klaxons,Echoes,33773
2020-07-17 07:49,The Rakes,1989,3959
2020-07-17 07:49,The Rakes,22 Grand Job,5201
2020-07-17 07:50,Bright Eyes,First Day Of My Life,1880
2020-07-17 07:50,Bright Eyes,Lua,31300
2020-07-17 07:50,Coconut Records,West Coast,10692
2020-07-17 07:50,The Rakes,We Danced Together,33912
2020-07-17 07:51,Coconut Records,It's Not You It's Me,17194
2020-07-17 07:51,Coconut Records,Microphone,3053
2020-07-17 07:51,Coconut Records,Nighttiming,4307
2020-07-17 07:52,JAWNY,Honeypie,39288
2020-07-17 07:52,Parcels,Tieduprightnow,2995
2020-07-17 07:52,LEISURE,All over You,16683
2020-07-17 07:52,LEISURE,Got It Bad,8034
2020-07-17 07:52,LEISURE,Money,5421
2020-07-17 07:52,Jungle,Casio,9485
2020-07-17 07:52,Rhye,Feel Your Weight - Poolside Remix,9798
2020-07-17 07:53,Rhye,Open,2368
2020-07-17 07:53,J Lloyd,God Forgiving Souls,9508
2020-07-17 07:53,Maribou State,Midas,3308
2020-07-17 07:53,Maribou State,Tongue,2310
2020-07-17 07:53,J Lloyd,The Way I Feel About You,25089
2020-07-17 07:53,Rhye,Song For You,15023
2020-07-17 07:53,Rhye,Beautiful,1787
2020-07-17 07:54,JAWNY,Honeypie,42562
2020-07-17 07:54,Maribou State,Nervous Tics (feat. Holly Walker),10901
2020-07-17 07:54,Maribou State,Steal,3157
2020-07-17 07:54,Maribou State,Beginner's Luck,2809
2020-07-17 07:55,JAWNY,4Tounce,9020
2020-07-17 07:55,JAWNY,Elliott Song,1660
2020-07-17 07:55,JAWNY,Anything You Want,24195
2020-07-17 07:55,JAWNY,Her Bangs,2403
2020-07-17 07:55,JAWNY,Crazy For Your Love,15801
2020-07-17 07:56,Kid Bloom,Different State of Mind,7360
2020-07-17 07:56,Kid Bloom,Parents House,9206
2020-07-17 07:56,JAWNY,Gentle Boy,4249
2020-07-17 07:56,Kid Bloom,Electric U,10924
2020-07-17 07:56,JAWNY,Angst,7871
2020-07-17 07:56,Kid Bloom,"I Kissed a Girl, and She Kissed Me",5027
2020-07-17 07:57,Wallows,Are You Bored Yet? (feat. Clairo),4051
2020-07-17 07:57,Peach Pit,Peach Pit,21849
2020-07-17 07:57,Wallows,These Days,7024
2020-07-17 07:57,Dayglow,Fair Game,6524
2020-07-17 07:57,The Honeysticks,I Don't Love You Anymore,3285
2020-07-17 07:57,Dayglow,Nicknames,2136
2020-07-17 07:57,The Honeysticks,Out Like a Light,2554
2020-07-17 07:57,Wallows,OK,2937
2020-07-17 07:57,Dayglow,Fuzzybrain,3332
2020-07-17 07:57,Dayglow,Can I Call You Tonight?,19260
2020-07-17 07:58,The Honeysticks,Get to You,5491
2020-07-17 07:58,The Honeysticks,Out Like a Light 2,2414
2020-07-17 07:58,The Honeysticks,Better,12039
2020-07-17 07:59,Jack Johnson,Better Together,77879
2020-07-17 07:59,Dave Matthews Band,You & Me,20259
2020-07-17 08:00,Trevor Hall,Moon / Sun,10983
2020-07-17 08:00,Trevor Hall,Where's The Love,4109
2020-07-17 08:00,Trevor Hall,Green Mountain State,2879
2020-07-17 08:00,Amos Lee,Arms Of A Woman,5596
2020-07-17 08:00,Umphrey's McGee,Can't Rock My Dream Face,33262
2020-07-17 08:01,Amos Lee,Sweet Pea,48669
2020-07-17 08:01,Jason Mraz,"The Remedy (I Won't Worry) - Live at the Charter One Pavilion, Chicago, IL, 8/13/2009",12027
2020-07-17 08:04,Jason Mraz,A Beautiful Mess,127280
2020-07-17 08:05,Matt Nathanson,Run,1520
2020-07-17 08:05,Matt Nathanson,Run,4493
2020-07-17 08:05,Matt Nathanson,All We Are,12921
2020-07-17 08:05,Jason Mraz,Wordplay,76997
2020-07-17 08:05,Matt Nathanson,Faster,6257
2020-07-17 08:05,Matt Nathanson,Come On Get Higher,7024
2020-07-17 08:06,Eric Hutchinson,Rock & Roll,43908
2020-07-17 08:06,Eric Hutchinson,A Little More,4969
2020-07-17 08:07,Mat Kearney,Nothing Left to Lose,41888
2020-07-17 08:08,The Script,Superheroes,1567
2020-07-17 08:08,Ben Rector,Love Like This,2670
2020-07-17 08:08,Ben Rector,It Would Be You,17217
2020-07-17 08:08,Tyrone Wells,Time of Our Lives,19307
2020-07-17 08:08,Mat Kearney,Kings & Queens,36803
2020-07-17 08:08,Tyrone Wells,And the Birds Sing,5178
2020-07-17 08:08,The Script,Hall of Fame (feat. will.i.am),3924
2020-07-17 08:09,The Script,Breakeven,38092
2020-07-17 08:09,Ingrid Michaelson,Girls Chase Boys,4643
2020-07-17 08:09,Ingrid Michaelson,You And I,14199
2020-07-17 08:11,A Fine Frenzy,Almost Lover,20758
2020-07-17 08:11,Ingrid Michaelson,Light Me Up,79400
